EB_scientific_name,EB_reporting_rate,BT_replacement_name,TAX,SEN,EXO,VAG,EB_replacement_name,BT_scientific_name,BT_reporting_rate
Luscinia svecica,3.03E-04,,,,,,,Luscinia svecica,2.06E-04
Lymnocryptes minimus,0.003959784,,,,,,,Lymnocryptes minimus,0.003450131
,,,,TRUE,,,,Lyrurus tetrix,8.86E-04
Mareca americana,5.13E-04,,,,,,,Mareca americana,3.96E-04
Mareca penelope,0.112880087,,,,,,,Mareca penelope,0.109248884
,,,,,TRUE,,,Mareca sibilatrix,3.17E-05
Mareca strepera,0.146255409,,,,,,,Mareca strepera,0.148023296
,,,,,TRUE,,,Marmaronetta angustirostris,3.17E-05
Megaceryle alcyon,2.57E-04,,,,,,,Megaceryle alcyon,1.42E-04
Melanitta americana,2.92E-05,,,,,,,Melanitta americana,1.58E-05
Melanitta deglandi,9.33E-05,,,,,,,Melanitta deglandi,6.33E-05
Melanitta fusca,0.003166661,,,,,,,Melanitta fusca,0.001883329
Melanitta nigra,0.017705308,,,,,,,Melanitta nigra,0.012993385
Melanitta perspicillata,5.25E-04,,,,,,,Melanitta perspicillata,3.32E-04
Melanocorypha calandra,5.83E-06,,,,,TRUE,,,
,,,,,TRUE,,,Melopsittacus undulatus,1.58E-05
Mergellus albellus,0.001947817,,,,,,,Mergellus albellus,0.001550976
Mergus merganser,0.035801346,,,,,,,Mergus merganser,0.050485867
Mergus serrator,0.019011629,,,,,,,Mergus serrator,0.014750103
Merops apiaster,1.17E-05,,,,,,,Merops apiaster,1.58E-05
Milvus migrans,1.75E-05,,,,,,,Milvus migrans,3.17E-05
Milvus milvus,0.09348356,,,,,,,Milvus milvus,0.089181148
Mimus polyglottos,4.37E-04,,,,,,,Mimus polyglottos,6.33E-05
Morus bassanus,0.045587086,,,,,,,Morus bassanus,0.032507201
Motacilla alba,0.269317797,,,,,,,Motacilla alba,0.250292786
Motacilla cinerea,0.083622007,,,,,,,Motacilla cinerea,0.084211692
Motacilla citreola,9.91E-05,,,,,,,Motacilla citreola,3.17E-05
Motacilla flava,0.027689329,,,,,,,Motacilla flava,0.023486215
Motacilla tschutschensis,9.33E-05,,,,,,,Motacilla tschutschensis,3.17E-05
Muscicapa striata,0.01050305,,,,,,,Muscicapa striata,0.010413699
,,,,,TRUE,,,Netta peposaca,1.58E-05
Netta rufina,0.007330557,,,,,,,Netta rufina,0.003307695
Numenius arquata,0.116425814,,,,,,,Numenius arquata,0.114835565
Numenius phaeopus,0.017337905,,,,,,,Numenius phaeopus,0.014370272
,,,,,TRUE,,,Numida meleagris,3.64E-04
Nycticorax nycticorax,7.58E-05,,,,,,,Nycticorax nycticorax,4.75E-05
Oceanites oceanicus,5.83E-06,,,,,TRUE,,,
Oenanthe deserti,9.91E-05,,,,,,,Oenanthe deserti,3.17E-05
Oenanthe isabellina,6.41E-05,,,,,,,Oenanthe isabellina,4.75E-05
Oenanthe oenanthe,0.032623022,,,,,,,Oenanthe oenanthe,0.029357769
Oenanthe pleschanka,1.40E-04,,,,,,,Oenanthe pleschanka,3.17E-05
Oriolus oriolus,1.57E-04,,,,,,,Oriolus oriolus,1.74E-04
,,,,,,TRUE,,Otis tarda,7.91E-05
Oxyura jamaicensis,5.25E-05,,,,,,,Oxyura jamaicensis,9.50E-05
Pandion haliaetus,0.005575189,,,,,,,Pandion haliaetus,0.005950685
Panurus biarmicus,0.010660508,,,,,,,Panurus biarmicus,0.010920141
,,,,,TRUE,,,Parabuteo unicinctus,7.91E-05
Parus major,0.479250499,,,,,,,Parus major,0.476608742
Passer domesticus,0.302080782,,,,,,,Passer domesticus,0.302139714
Passer montanus,0.026254709,,,,,,,Passer montanus,0.028281581
Pastor roseus,7.17E-04,,,,,,,Pastor roseus,3.48E-04
,,,,,TRUE,,,Pavo cristatus,2.37E-04
Perdix perdix,0.009984021,,,,,,,Perdix perdix,0.013452347
Periparus ater,0.151574,,,,,,,Periparus ater,0.16486247
Pernis apivorus,9.33E-05,,,,,,,Pernis apivorus,2.69E-04
Phalacrocorax carbo,0.283255771,,,,,,,Phalacrocorax carbo,0.252002026
Phalaropus fulicarius,0.001061385,,,,,,,Phalaropus fulicarius,5.06E-04
Phalaropus lobatus,2.22E-04,,,,,,,Phalaropus lobatus,3.48E-04
Phalaropus tricolor,2.27E-04,,,,,,,Phalaropus tricolor,3.17E-05
Phasianus colchicus,0.215886957,,,,,,,Phasianus colchicus,0.25394866
Pheucticus ludovicianus,2.92E-05,,,,,TRUE,,,
Phoenicurus ochruros,0.003160829,,,,,,,Phoenicurus ochruros,0.001756718
Phoenicurus phoenicurus,0.010100657,,,,,,,Phoenicurus phoenicurus,0.009733169
Phylloscopus bonelli,1.52E-04,,,,,,,Phylloscopus bonelli,1.58E-05
Phylloscopus borealis,1.11E-04,,,,,,,Phylloscopus borealis,6.33E-05
Phylloscopus collybita,0.268262244,,,,,,,Phylloscopus collybita,0.29178932
Phylloscopus fuscatus,5.54E-04,,,,,,,Phylloscopus fuscatus,0.001313582
Phylloscopus griseolus,5.83E-06,,,,,TRUE,,,
Phylloscopus humei,1.28E-04,,,,,,,Phylloscopus humei,4.75E-05
Phylloscopus ibericus,1.22E-04,,,,,,,Phylloscopus ibericus,3.17E-05
Phylloscopus inornatus,0.001125535,,,,,,,Phylloscopus inornatus,3.17E-04
